1800,5605,20200720,1
4821,4709,20200819,0
2166,2582,20200819,1
1623,7269,20200806,1
4676,4725,20200820,1
4470,5716,20200729,0
4668,2463,20200726,1
4962,8629,20200727,0
4442,255,20200717,1
946,8770,20200803,1
3624,4599,20200810,1
1209,2040,20200707,0
1538,8781,20200808,1
3921,848,20200809,0
97,4383,20200809,0
3913,7353,20200802,1
6396,733,20200801,1
2009,10122,20200809,0
4414,5596,20200728,0
5016,8586,20200802,0
488,5793,20200806,0
1277,7677,20200810,0
2685,637,20200801,1
2367,5742,20200808,0
2123,3931,20200722,1
1635,6321,20200828,1
3742,2620,20200801,1
2977,4321,20200805,1
6745,7236,20200728,1
5075,7135,20200719,1
6089,5663,20200801,1
1720,9815,20200718,1
4715,1883,20200713,1
2133,8705,20200805,1
5765,8834,20200804,1
1042,206,20200708,1
1977,7429,20200804,0
3517,6224,20200811,1
2731,10257,20200814,0
2817,743,20200813,0
5541,2052,20200707,1
555,2426,20200724,0
638,5781,20200731,1
6436,1036,20200808,1
3725,2306,20200722,0
37,6330,20200827,1
64,1878,20200717,1
4642,256,20200707,1
2605,2527,20200731,0
555,8260,20200706,1
1187,6022,20200810,0
1755,5767,20200817,0
6485,2408,20200806,1
434,4077,20200724,0
6457,2354,20200719,1
3560,4012,20200719,1
1209,2524,20200802,1
2007,871,20200805,0
3326,4605,20200810,1
3964,10099,20200803,1
2225,5878,20200807,1
5055,9721,20200725,1
2167,3984,20200807,1
1887,845,20200804,1
885,2575,20200809,0
6265,9756,20200809,1
4741,1973,20200713,1
5697,9841,20200716,1
3765,883,20200802,0
1678,5859,20200804,1
4306,4034,20200723,1
2795,2008,20200707,1
2206,9778,20200713,0
2929,10092,20200805,1
2619,815,20200808,0
1170,5474,20200711,1
6278,815,20200809,0
2542,3982,20200719,1
2950,5641,20200812,1
4872,10051,20200804,1
4887,9157,20200821,1
2784,1405,20200822,1
3441,770,20200805,1
1054,6716,20200712,1
3223,4146,20200728,0
5765,1969,20200719,1
229,9219,20200828,0
6361,7081,20200724,0
4310,4666,20200816,1
6274,6958,20200730,0
226,4326,20200809,1
763,1294,20200817,0
838,4684,20200817,0
3544,2144,20200806,1
6662,4005,20200719,0
1183,584,20200717,0
4161,4847,20200902,1
6563,702,20200731,1
5582,4714,20200821,1
798,2263,20200713,1
2339,8655,20200811,0
4427,9552,20200711,1
5342,6242,20200814,0
5061,643,20200721,1
867,1009,20200807,1
240,2348,20200803,0
242,2475,20200807,1
3675,2446,20200725,0
3902,8593,20200808,0
7000,9114,20200812,0
6639,2558,20200803,0
6935,732,20200727,1
2513,817,20200731,0
2837,3249,20200829,0
2641,698,20200724,0
6746,1936,20200731,1
6338,10050,20200802,0
4865,7279,20200801,1
1758,4699,20200817,0
386,3840,20200711,1
891,724,20200804,0
3223,179,20200705,1
3925,1061,20200809,0
1911,715,20200727,1
4690,7509,20200806,1
1195,7190,20200820,1
1998,910,20200816,1
1538,7506,20200806,1
5295,7182,20200816,0
7056,5504,20200715,0
2470,947,20200806,1
2950,2258,20200713,1
4296,8555,20200808,0
5651,5694,20200802,0
4962,10042,20200805,0
5572,8694,20200801,1
3529,3108,20200822,0
2139,4425,20200814,1
5505,1898,20200710,1
6116,2025,20200711,1
5760,7566,20200814,0
1887,2955,20200822,1
2201,3185,20200827,1
5817,9925,20200730,0
6746,7384,20200803,0
2568,4186,20200804,0
4280,6250,20200814,0
534,3982,20200720,1
2166,10399,20200818,1
322,4475,20200810,1
4850,10061,20200802,1
2043,586,20200717,1
137,9109,20200812,0
1834,5909,20200808,0
2542,5519,20200716,1
5935,7263,20200729,0
165,4987,20200901,1
4914,1375,20200819,1
1124,5898,20200803,1
2490,6151,20200809,1
4481,4732,20200822,0
5891,8718,20200804,0
41,4775,20200827,1
3569,4605,20200810,1
4475,173,20200712,0
6183,3764,20200709,0
